id,name,class,major
1,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Sistem Informasi
2,UNIVERSITAS ISLAM 45 BEKASI,,Sistem Informasi
3,Universitas Airlangga,,Statistika
4,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Statistika
5,Universitas Airlangga,,Manajemen
6,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Sistem Informasi
7,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Teknik Informatika
8,UNIVERSITAS PADJADJARAN,,Teknik Elektro
9,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Aktuaria
10,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Aktuaria
11,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Sistem Informasi
12,UNIVERSITAS NEGERI MALANG,,Ekonomi
13,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Teknik Biomedik
14,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Teknik Biomedik
15,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,,Statistika
16,UNIVERSITAS MATARAM,,PGSD
17,UNIVERSITAS NEGERI SEBELAS MARET,,Fisika
18,UNIV 17 AGUSTUS SEMARANG,,Matematika
19,UNIVERSITAS GAJAH MADA,,Aktuaria
20, UNIVERSITAS SUNAN MURIA,,Akuntansi
21,POLITEKNIK NEGERI MALANG,,Teknik Informatika
22,INSTITUT PERTANIAN BOGOR,,Manajemen
23,INSTITUT PERTANIAN BOGOR,,Pertanian
24,Telkom University,,Teknik Informatika
25,Telkom University,,Teknik Informatika
26,SMAN 5 SURABAYA,12.0,
27,SMAK SANTU PETRUS,11.0,
28,SMA N 1 BALIGE,12.0,
29,SMAN 2 SIDOARJO,12.0,
30,SMK TELKOM MALANG,11.0,
31,SMAS AL HIKMAH SURABAYA,10.0,
32,SMAS AL HIKMAH SURABAYA,10.0,
33,SMAS AL HIKMAH SURABAYA,12.0,
34,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,11.0,
35,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,12.0,
36,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,12.0,
37,MAN 1 BANDARLAMPUNG,11.0,
38,SMAN 1 PALANGKARAYA,12.0,
39,SMAS YAYASAN PUPUK KALTIM BONTANG,12.0,
40,SMA NEGERI 1 PASURUAN,12.0,
41,SMAN 1 CERME,10.0,
42,SMAN 1 BANGKALAN,11.0,
43,SMA Negeri Titian Teras HAS,12.0,
44,SMAK SANTO YOSEPH DENPASAR,10.0,
45,SMA LABSCHOOL JAKARTA,12.0,
46,SMAN 1 MANYAR,11.0,
47,SMA ISLAM TERPADU ALMAKA JAKARTA BARAT,12.0,
48,SMA LABSCHOOL JAKARTA,12.0,
49,SMAN 1 TRENGGALEK,10.0,
50,SMA LABSCHOOL JAKARTA,12.0,
