id,name
30,AFK
17,Always Lucky
37,Andromeda
10,BISMILLAHIRRAHMANIRRAHIM
5,Bismillah
34,Bismillah Bunda Bangga
47,Brixist
35,Bubadibadut
48,Bukit Sekatup Damai
28,Buzzer Beater
15,CLASSSURYA
18,Cerelia team
22,Chicken and Cheese
21,Consigliere
4,Doa Ibu
11,Equanimity
40,FAMBEAST
45,Faust
25,Fourtate
46,HERANpride
12,Horizon
31,ILKANA
6,Impresif
1,Jedi
32,Kue Ikan
2,Ladies Of Leolin
3,Lonceng biru
27,MARSADA
8,Meganekkogekirabu
38,Menang.in
33,Naraya
16,OneOnly
41,PENGIDE
49,Papota
13,Pensil 2B
50,Primary Key
19,Shiiragi
9,Skansa Team
29,TRIDY
36,Team Hore
39,Tee Mee
24,Tim Nema
14,Tirascode
44,UrFace
43,VAODE
23,Virtual Leaders
42,WiNRawr
7,niskala
20,tiras
26,yukbisayuk
